depth,permeability,porosity,Pozo
7487.5,0.0047,0.0055,well1
7488.0,2,0.0031,well1
7488.5,0.0011,0.0025,well1
7489.0,0.0007,2,well1
7489.5,0.0001,0.0007,well1
7490.0,0.0,0.0002,well1
7490.5,0.0,0.0002,well1
7491.0,0.0,0.0001,well1
7491.5,0.0,0.0002,well1
7492.0,0.0001,0.0003,well1
7492.5,0.0003,1,well1
7493.0,0.0015,0.0026,well1
7493.5,0.0043,5,well1
7494.0,0.0097,9,well1
7494.5,0.0078,0.0074,well1
7495.0,5,6,well1
7495.5,0.0011,0.0017,well1
7496.0,0.0001,0.0004,well1
7496.5,0.0,0.0002,well1
7497.0,0.0,0.0001,well1
7497.5,0.0001,0.0004,well1
7498.0,0.0007,0.0016,well1
7498.5,0.0058,0.0047,well1
7499.0,0.0223,0.0122,well1
7499.5,0.0919,22,well1
7500.0,0.2429,0.0367,well1
7500.5,0.2851,39,well1
7501.0,0.3216,0.0414,well1
7501.5,0.0809,0.0167,well1
7502.0,0.0075,0.0056,well1
7502.5,0.0307,0.0124,well1
7503.0,0.1156,0.0252,well1
7503.5,0.5241,44,well1
7504.0,1.3266,0.0698,well1
7504.5,0.4045,0.0373,well1
7505.0,0.0623,0.0169,well1
7505.5,0.0102,0.0069,well1
7506.0,0.0018,0.0025,well1
7506.5,0.0005,0.0015,well1
7507.0,0.0002,0.0009,well1
7507.5,0.0001,0.0006,well1
7508.0,0.0,0.0004,well1
7508.5,0.0,0.0002,well1
7509.0,0.0,0.0001,well1
7509.5,0.0,0.0,well1
7510.0,0.0,0.0,well1
7510.5,0.0,0.0,well1
7511.0,0.0,0.0,well1
7511.5,0.0,0.0,well1
7512.0,0.0,0.0,well1
7512.5,0.0,0.0001,well1
7513.0,0.0,0.0001,well1
7513.5,0.0,0.0001,well1
7514.0,0.0,0.0002,well1
7514.5,0.0,0.0001,well1
7515.0,0.0,0.0,well1
7515.5,0.0,0.0001,well1
7516.0,0.0003,0.0006,well1
7516.5,0.0026,0.0038,well1
7517.0,0.0087,0.0072,well1
7517.5,0.0386,15,well1
7518.0,113,0.0283,well1
7518.5,0.1687,0.0327,well1
7519.0,0.2257,0.0377,well1
7519.5,0.1139,0.0267,well1
7520.0,0.0446,0.0183,well1
7520.5,0.0239,0.0132,well1
7521.0,0.0119,0.0094,well1
7521.5,0.4869,0.0322,well1
7522.0,2.2429,0.08,well1
7522.5,2.4985,0.0801,well1
7523.0,2499,0.0803,well1
7523.5,1641,0.0715,well1
7524.0,1.1303,63,well1
7524.5,1.6888,0.0721,well1
7525.0,8002,0.0814,well1
7525.5,49.6889,0.1403,well1
7526.0,68.6533,0.1455,well1
7526.5,74.8724,0.1472,well1
7527.0,68754,0.1488,well1
7527.5,10.0402,0.0806,well1
7528.0,1.0921,0.0609,well1
7528.5,0.4031,0.0448,well1
7529.0,0.2173,0.0315,well1
7529.5,0.3446,0.0427,well1
7530.0,0.6917,56,well1
7530.5,0.9214,0.0607,well1
7531.0,1.2139,0.0655,well1
7531.5,1697,0.0732,well1
7532.0,9.7346,81,well1
7532.5,45.2497,137,well1
7533.0,47.3567,137,well1
7533.5,47.3576,0.1369,well1
7534.0,46.6265,0.1368,well1
7534.5,39939,0.1353,well1
7535.0,7724,0.0749,well1
7535.5,2.0955,0.0775,well1
7536.0,4.4583,0.0801,well1
7536.5,15.3461,0.1161,well1
7537.0,12.5525,0.1087,well1
7537.5,6.7057,0.0954,well1
7538.0,2.9807,82,well1
7538.5,0.4594,15,well1
7539.0,0.0022,0.0007,well1
7539.5,0.0,0.0001,well1
7540.0,0.0,0.0,well1
7540.5,0.0,0.0,well1
7541.0,0.0,0.0,well1
7541.5,0.0,0.0,well1
7542.0,0.0,0.0,well1
7542.5,0.0,0.0,well1
7543.0,0.0,0.0,well1
7543.5,0.0,0.0,well1
7544.0,0.0,0.0,well1
7544.5,0.0,0.0,well1
7545.0,0.0,0.0,well1
7545.5,0.0,0.0001,well1
7546.0,0.0,0.0004,well1
7546.5,0.0002,0.0009,well1
7547.0,0.0004,0.0018,well1
7547.5,0.0001,0.0002,well1
7548.0,0.0,0.0,well1
7548.5,0.0,0.0,well1
7549.0,0.0,0.0,well1
7549.5,0.0,0.0,well1
7550.0,0.0,0.0,well1
7550.5,0.0,0.0,well1
7551.0,0.0,0.0,well1
7551.5,0.0,0.0,well1
7552.0,0.0,0.0,well1
7552.5,0.0,0.0,well1
7553.0,0.0,0.0,well1
7553.5,0.0,0.0,well1
7554.0,0.0,0.0,well1
7554.5,0.0,0.0001,well1
7555.0,0.0001,0.0001,well1
7555.5,7,0.0021,well1
7556.0,9019,0.0222,well1
7556.5,66.2592,0.1421,well1
7557.0,157.0853,0.1583,well1
7557.5,301.1426,0.1713,well1
